Language,Key,Original Text,Translated Text
bn,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""যদি আপনি ভবিষ্যত গড়ছেন, তাহলে ভিট্রুভিয়ান এমন এক পার্টনার যারা শুধু বুঝে না—তারা তা গতিশীল করে তোলে।"""
de,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners ist dort, wo kühner Ehrgeiz auf präzise Ausführung trifft. Bekannt dafür, transformative Wachstumsunternehmen in ganz Europa und darüber hinaus zu unterstützen, ist Vitruvian nicht nur eine Private-Equity-Firma – es ist ein Katalysator für Skalierung, Innovation und Marktführerschaft."
de,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""Ihr Portfolio liest sich wie das Who's-Who der Game-Changer, und ihre Strategie ist alles andere als traditionell – flexibles Kapital, tiefgreifendes Branchenwissen und ein unermüdlicher Antrieb, jedes beteiligte Unternehmen zu verbessern."""
de,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Wenn du die Zukunft gestaltest, ist Vitruvian der Partner, der nicht nur versteht – er beschleunigt sie."
ja,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.",ヴィトルヴィアン・パートナーズは、大胆な野心と鋭い実行が出会う場所です。ヨーロッパおよびその他の地域で変革的成長企業を支援していることで知られており、単なるプライベートエクイティファームではなく、スケール、イノベーション、カテゴリーリーダーシップの触媒です。
ja,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.",彼らのポートフォリオは革新者たちの名簿のようで、その戦略は従来のものとは全く異なります—柔軟な資本、深い業界知識、そして関わるすべてのビジネスを向上させるための不断の努力。
ja,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.",未来を築くあなたに、ヴィトルヴィアンはただ理解するだけでなく、加速させるパートナーです。
pa,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","ਵਿਟਰੂਵੀਅਨ ਪਾਰਟਨਰਜ਼ ਉਹ ਜਗ੍ਹਾ ਹੈ ਜਿੱਥੇ ਦਲੇਰ ਇਰਾਦੇ ਤੇਜ਼ ਅਮਲ ਨਾਲ ਮਿਲਦੇ ਹਨ। ਯੂਰਪ ਅਤੇ ਉਸ ਤੋਂ ਬਾਹਰ ਬਦਲਾਉ ਵਾਲੀਆਂ ਵਿਕਾਸ ਕੰਪਨੀਆਂ ਨੂੰ ਸਮਰਥਨ ਦੇਣ ਲਈ ਮਸ਼ਹੂਰ, ਵਿਟਰੂਵੀਅਨ ਸਿਰਫ ਇਕ ਪ੍ਰਾਈਵੇਟ ਇਕੁਇਟੀ ਫਰਮ ਨਹੀਂ ਹੈ—ਇਹ ਪੈਮਾਨੇ, ਨਵਾਚਾਰ, ਅਤੇ ਸ਼੍ਰੇਣੀ ਨੇਤ੃ਤਵ ਲਈ ਇਕ ਕੈਟਲਿਸਟ ਹੈ।"
pa,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","ਉਹਨਾਂ ਦੀ ਪੋਰਟਫੋਲੀਓ ਗੇਮ-ਚੇਂਜਰਾਂ ਦੀ ਸੂਚੀ ਵਾਂਗ ਹੈ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਰਣਨੀਤੀ ਰਵਾਇਤੀ ਤੋਂ ਬਿਲਕੁਲ ਵੱਖਰੀ ਹੈ—ਲਚਕਦਾਰ ਪੂੰਜੀ, ਗਹਿਰੀ ਖੇਤਰੀ ਮਾਹਿਰਤਾ, ਅਤੇ ਹਰ ਕਾਰੋਬਾਰ ਨੂੰ ਉਚਾ ਚੁੱਕਣ ਦੀ ਅਥਕ ਚਾਹਤ।"
pa,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","ਜੇ ਤੁਸੀਂ ਭਵਿੱਖ ਬਣਾ ਰਹੇ ਹੋ, ਤਾਂ ਵਿਟਰੂਵੀਅਨ ਉਹ ਸਾਥੀ ਹੈ ਜੋ ਨਾ ਸਿਰਫ ਸਮਝਦਾ ਹੈ—ਬਲਕਿ ਇਸਨੂੰ ਤੇਜ਼ੀ ਨਾਲ ਅੱਗੇ ਵਧਾਉਂਦਾ ਹੈ।"
jv,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","""Vitruvian Partners iku panggonan ambisi gedhe ketemu karo eksekusi sing cermat. Misuwur amarga ndhukung perusahaan pertumbuhan transformasional ing Eropa lan liyane, Vitruvian ora mung perusahaan ekuitas swasta—iku katalis kanggo skala, inovasi, lan kepemimpinan kategori."""
jv,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""Portofolio wong-wong mau kaya daftar jenenge para pemain utama, lan strategine pancen ora tradisional—modal fleksibel, keahlian sektor mendalam, lan semangat tanpa henti kanggo ningkatake saben bisnis sing dijamah."""
jv,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Yèn sampeyan nggawé masa depan, Vitruvian iku jinis kanca sing ora mung ngerti—nanging malah nggancaraké."
ko,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","비트루비안 파트너스는 대담한 야망과 뛰어난 실행이 만나는 곳입니다. 유럽 및 그 외 지역에서 변혁적 성장 기업을 지원하는 것으로 알려진 비트루비안은 단순한 사모펀드 회사가 아니라 규모 확장, 혁신, 그리고 시장 리더십을 위한 촉매제입니다."
ko,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","그들의 포트폴리오는 게임 체인저들의 명단과 같고, 그들의 전략은 전통적이지 않습니다—유연한 자본, 깊은 분야 전문성, 그리고 접촉하는 모든 비즈니스를 향상시키려는 끊임없는 의지."
ko,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.",미래를 구축하는 당신에게 비트루비안은 단순히 이해하는 것을 넘어서 가속화하는 파트너입니다.
vi,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners là nơi tham vọng mạnh mẽ gặp sự thực thi tinh tế. Nổi tiếng với việc hỗ trợ các công ty tăng trưởng đột phá khắp châu Âu và hơn thế nữa, Vitruvian không chỉ là một công ty tư bản tư nhân - đó là một chất xúc tác cho quy mô, đổi mới và lãnh đạo thị trường."
vi,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","Danh mục đầu tư của họ giống như danh sách những người làm thay đổi cuộc chơi, và chiến lược của họ thì không hề truyền thống—vốn linh hoạt, chuyên môn sâu về ngành, và quyết tâm không ngừng nâng tầm mọi doanh nghiệp mà họ tham gia."
vi,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Nếu bạn đang xây dựng tương lai, Vitruvian là đối tác không chỉ hiểu bạn – họ còn thúc đẩy bạn nhanh hơn."
te,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","విట్రువియన్ పార్ట్నర్స్ అనేది ధైర్యవంతమైన లక్ష్యాలు మరియు పదునైన అమలు కలుసుకునే చోటు. యూరోప్ మరియు ఇతర ప్రాంతాలలో పరిణామకారక వృద్ధి కంపెనీలకు మద్దతు ఇచ్చేదిగా పేరుపొందిన విట్రువియన్ కేవలం ఒక ప్రైవేట్ ఈక్విటీ సంస్థ మాత్రమే కాదు—ఇది స్కేల్, ఇన్నోవేషన్, మరియు వర్గం నాయకత్వం కోసం ఒక ఉత్ప్రేరకం."
te,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","వారి పోర్ట్‌ఫోలియో గేమ్ చేంజర్ల జాబితాలా ఉంది, మరియు వారి వ్యూహం సాంప్రదాయికం కాదు—సడలించదగిన మూలధనం, లోతైన రంగ నిపుణత, మరియు తాకిన ప్రతి వ్యాపారాన్ని ఎత్తిపెట్టే అవిరామ ప్రయత్నం."
te,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","మీరు భవిష్యత్తును నిర్మిస్తున్నారా, విట్రువియన్ అనేది కేవలం అర్థం చేసుకోనే కాదు, దాన్ని వేగవంతం చేసే రకం."
mr,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","विट्रुवियन पार्टनर्स हे ठिकाण आहे जिथे धाडसी उद्दिष्टे आणि कुशल कार्यान्वयन एकत्र येतात. युरोप आणि त्यापलीकडे रूपांतरकारी वाढीच्या कंपन्यांना पाठिंबा देणारे, विट्रुवियन फक्त खासगी इक्विटी फर्मच नाही तर ते प्रमाण, नाविन्य आणि वर्गनेतृत्वासाठी एक प्रेरक आहे."
mr,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""त्यांचे पोर्टफोलिओ हे खेळ पालटवणाऱ्यांच्या यादीसारखे आहे, आणि त्यांची रणनीती पारंपारिक नाही—लवचिक भांडवल, गहन क्षेत्रीय ज्ञान, आणि प्रत्येक व्यवसायाला उंचावण्याची अविरत धडपड."""
mr,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""भविष्य निर्माण करत असाल तर, विट्रुवियन हा असा भागीदार आहे जो फक्त समजून घेत नाही तर त्याला गती देतो."""
tr,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners, cesur hedeflerin keskin uygulamayla buluştuğu yer. Avrupa ve ötesinde dönüştürücü büyüme şirketlerini desteklemesiyle tanınan Vitruvian, sadece bir özel sermaye şirketi değil—ölçeklendirme, yenilik ve kategori liderliği için bir katalizördür."
tr,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","Portföyleri, oyunun kurallarını değiştirenlerin kim olduğunu gösteriyor ve stratejileri geleneksel olmaktan uzak—esnek sermaye, derin sektör uzmanlığı ve dokundukları her işi yükseltme konusunda amansız bir azim."
tr,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Geleceği inşa ediyorsanız, Vitruvian sadece anlamakla kalmaz, hızlandırır."
ta,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","விட்ருவியன் பார்ட்னர்ஸ் என்பது தைரியமான லட்சியம் கூர்மையான செயல்பாட்டுடன் சந்திக்கும் இடம். ஐரோப்பாவிலும் அப்பாலும் மாற்றும் வளர்ச்சி நிறுவனங்களுக்கு ஆதரவளிப்பதில் புகழ்பெற்றது, விட்ருவியன் வெறும் தனியார் முதலீட்டு நிறுவனம் மட்டுமல்ல—அது அளவில் விரிவாக்கம், புதுமை, மற்றும் வகை தலைமைக்கான ஒரு தூண்டுகோல்."
ta,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","அவர்களின் போர்ட்போலியோ முக்கிய மாற்றங்களை உருவாக்கும் நபர்களின் பட்டியல் போல உள்ளது, மேலும் அவர்களின் உத்திகள் பாரம்பரியமல்ல—நெகிழ்வான மூலதனம், ஆழமான துறை அறிவு, மற்றும் தொடர்ச்சியாக ஒவ்வொரு வணிகத்தையும் உயர்த்தும் உந்துதல்."
ta,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","நீங்கள் எதிர்காலத்தை உருவாக்கும்போது, விட்ருவியன் அதை மட்டும் புரிந்துகொள்வதில்லை, அதை வேகப்படுத்தும் வகையான பங்காளி."
ur,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.",وٹرووین پارٹنرز وہ جگہ ہے جہاں جرات مندانہ عزائم کی ملاقات تیز تر عملدرآمد سے ہوتی ہے۔ یورپ اور اس سے آگے کی تبدیلی پذیر ترقی کمپنیوں کی حمایت کے لیے مشہور، وٹرووین صرف ایک نجی ایکویٹی فرم نہیں—یہ پیمانے، جدت، اور شعبے کی قیادت کے لیے ایک محرک ہے۔
ur,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.",ان کا پورٹ فولیو گیم چینجرز کی فہرست جیسا ہے، اور ان کی حکمت عملی روایتی نہیں بلکہ لچکدار سرمایہ، گہری شعبہ جاتی مہارت، اور ہر کاروبار کو بلند کرنے کی بے لوث کوشش پر مبنی ہے۔
ur,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.",اگر آپ مستقبل تعمیر کر رہے ہیں، تو ویٹرووین وہ ساتھی ہے جو نہ صرف اسے سمجھتا ہے بلکہ تیزی سے بڑھاوا بھی دیتا ہے۔
it,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners è il punto d'incontro tra ambizione audace e esecuzione precisa. Nota per il sostegno a imprese in rapida crescita in Europa e oltre, Vitruvian non è solo una società di private equity: è un catalizzatore di scala, innovazione e leadership di settore."
it,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""Il loro portfolio sembra un elenco dei più grandi innovatori, e la loro strategia è tutt'altro che tradizionale: capitale flessibile, profonda competenza settoriale e un impegno costante per valorizzare ogni azienda con cui entrano in contatto."""
it,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""Se stai costruendo il futuro, Vitruvian è il tipo di partner che non solo capisce, ma accelera il processo."""
fa,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.",Vitruvian Partners جایی است که جاه‌طلبی جسور با اجرای دقیق همراه می‌شود. شناخته شده برای حمایت از شرکت‌های در حال رشد و تحول‌آفرین در سراسر اروپا و فراتر از آن، Vitruvian تنها یک شرکت سرمایه‌گذاری خصوصی نیست—بلکه محرکی برای مقیاس‌بندی، نوآوری و رهبری در دسته‌بندی است.
fa,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""پورتفولیوی آن‌ها مانند فهرستی از افراد تأثیرگذار است و استراتژی‌شان هرچیزی جز سنتی است—سرمایه انعطاف‌پذیر، تخصص عمیق در بخش‌ها، و تلاش بی‌وقفه برای ارتقاء هر کسب‌وکاری که با آن درگیر می‌شوند."""
fa,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.",اگر در حال ساخت آینده هستید، ویتروویان نوعی شریک است که نه تنها آن را درک می‌کند، بلکه سرعت می‌بخشد.
pl,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners to miejsce, gdzie śmiałe ambicje spotykają się z precyzyjnym wykonaniem. Znani z wspierania firm o transformacyjnym potencjale wzrostu w Europie i nie tylko, Vitruvian to nie tylko firma private equity – to katalizator skali, innowacji i liderowania w kategorii."
pl,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","Ich portfolio przypomina listę wybitnych innowatorów, a ich strategia jest wszystko, tylko nie tradycyjna — elastyczny kapitał, głęboka wiedza branżowa i nieustająca determinacja, by podnosić wartość każdej firmy, z którą współpracują."
pl,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Jeśli budujesz przyszłość, Vitruvian to partner, który nie tylko to rozumie – on to przyspiesza."
ro,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners este locul unde ambiția îndrăzneață întâlnește execuția precisă. Recunoscut pentru susținerea companiilor cu creștere transformativă din Europa și nu numai, Vitruvian nu este doar o firmă de capital privat - este un catalizator pentru scalare, inovație și lider de categorie."
ro,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","Portofoliul lor este un adevărat catalog al inovatorilor, iar strategia lor este departe de a fi tradițională—capital flexibil, expertiză aprofundată în sector și o determinare neîncetată de a îmbunătăți fiecare afacere cu care interacționează."
ro,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""Dacă construiești viitorul, Vitruvian este tipul de partener care nu doar că înțelege – el accelerează procesul."""
nl,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners is waar gedurfde ambitie samengaat met scherpe uitvoering. Bekend om het ondersteunen van transformatieve groeibedrijven in heel Europa en daarbuiten, is Vitruvian niet zomaar een private equity firma - het is een katalysator voor schaalvergroting, innovatie en marktleiderschap."
nl,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""Hun portfolio lijkt op een wie-is-wie van game-changers, en hun strategie is allesbehalve traditioneel—flexibel kapitaal, diepgaande sectorkennis en een onophoudelijke drang om elk bedrijf dat ze aanraken te verbeteren."""
nl,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""Als je aan de toekomst bouwt, is Vitruvian de partner die het niet alleen begrijpt, maar ook versnelt."""
